,volume
2016-07-21,17801663.0
2016-07-22,18422410.0
2016-07-25,18487449.0
2016-07-26,17611964.0
2016-07-27,52654239.0
2016-07-28,78955758.0
2016-07-29,35058803.0
2016-08-01,25006850.0
2016-08-02,23968414.0
2016-08-03,18525332.0
2016-08-04,21065974.0
2016-08-05,20184035.0
2016-08-08,15233929.0
2016-08-09,19620967.0
2016-08-10,10670148.0
2016-08-11,11729519.0
2016-08-12,12158955.0
2016-08-15,19295130.0
2016-08-16,14222410.0
2016-08-17,13794179.0
2016-08-18,12400816.0
2016-08-19,11688265.0
2016-08-22,14386361.0
2016-08-23,13309452.0
2016-08-24,12243719.0
2016-08-25,10730811.0
2016-08-26,17504825.0
2016-08-29,15925900.0
2016-08-30,17804286.0
2016-08-31,14200636.0
2016-09-01,13536125.0
2016-09-02,12118773.0
2016-09-06,26278407.0
2016-09-07,27990796.0
2016-09-08,15676595.0
2016-09-09,27100679.0
2016-09-12,21252752.0
2016-09-13,18016152.0
2016-09-14,15720388.0
2016-09-15,15111838.0
2016-09-16,24119174.0
2016-09-19,14958794.0
2016-09-20,11083808.0
2016-09-21,14068336.0
2016-09-22,15538307.0
2016-09-23,28326266.0
2016-09-26,15064940.0
2016-09-27,15637111.0
2016-09-28,12047636.0
2016-09-29,14532241.0
2016-09-30,18402945.0
2016-10-03,13156943.0
2016-10-04,14307548.0
2016-10-05,12386753.0
2016-10-06,11682729.0
2016-10-07,12804420.0
2016-10-10,15138720.0
2016-10-11,17537928.0
2016-10-12,11072991.0
2016-10-13,17139306.0
2016-10-14,13345292.0
2016-10-17,11351681.0
2016-10-18,13503967.0
2016-10-19,16752321.0
2016-10-20,13167503.0
2016-10-21,19088794.0
2016-10-24,17470227.0
2016-10-25,13336787.0
2016-10-26,13084731.0
2016-10-27,16741393.0
2016-10-28,24545547.0
2016-10-31,15668982.0
2016-11-01,22077779.0
2016-11-02,50190225.0
2016-11-03,63766259.0
2016-11-04,30545466.0
2016-11-07,23008880.0
2016-11-08,19460768.0
2016-11-09,31916020.0
2016-11-10,67846704.0
2016-11-11,32840137.0
2016-11-14,51377040.0
2016-11-15,34681369.0
2016-11-16,32397947.0
2016-11-17,18597766.0
2016-11-18,22879303.0
2016-11-21,35415366.0
2016-11-22,26089163.0
2016-11-23,15672136.0
2016-11-25,8658605.0
2016-11-28,18101314.0
2016-11-29,18890956.0
2016-11-30,30188922.0
2016-12-01,43276994.0
2016-12-02,25070364.0
2016-12-05,20201528.0
2016-12-06,19131202.0
2016-12-07,21913658.0
2016-12-08,22442756.0
2016-12-09,17464736.0
2016-12-12,17805527.0
2016-12-13,29768028.0
2016-12-14,25913095.0
2016-12-15,20139568.0
2016-12-16,25324299.0
2016-12-19,15918146.0
2016-12-20,13684402.0
2016-12-21,10767646.0
2016-12-22,16258587.0
2016-12-23,10889985.0
2016-12-27,12051481.0
2016-12-28,12087377.0
2016-12-29,9934873.0
2016-12-30,18684106.0
2017-01-03,20663912.0
2017-01-04,19630932.0
2017-01-05,19492150.0
2017-01-06,28545263.0
2017-01-09,22880360.0
2017-01-10,17324590.0
2017-01-11,18356523.0
2017-01-12,18653914.0
2017-01-13,24884325.0
2017-01-17,15294460.0
2017-01-18,13145852.0
2017-01-19,12195465.0
2017-01-20,19097223.0
2017-01-23,16593563.0
2017-01-24,15162724.0
2017-01-25,18777314.0
2017-01-26,20020141.0
2017-01-27,19539514.0
2017-01-30,18956095.0
2017-01-31,19790484.0
2017-02-01,50139775.0
2017-02-02,54366447.0
2017-02-03,24804890.0
2017-02-06,17058494.0
2017-02-07,14596449.0
2017-02-08,22390556.0
2017-02-09,16470609.0
2017-02-10,15061939.0
2017-02-13,13526221.0
2017-02-14,14364877.0
2017-02-15,13226534.0
2017-02-16,12831092.0
2017-02-17,12276490.0
2017-02-21,14759109.0
2017-02-22,27360092.0
2017-02-23,18422549.0
2017-02-24,12625742.0
2017-02-27,14306668.0
2017-02-28,16112092.0
2017-03-01,16257010.0
2017-03-02,12294804.0
2017-03-03,11160563.0
2017-03-06,12748179.0
2017-03-07,13527132.0
2017-03-08,10184514.0
2017-03-09,15535259.0
2017-03-10,16314113.0
2017-03-13,10955450.0
2017-03-14,12944018.0
2017-03-15,19344826.0
2017-03-16,13612942.0
2017-03-17,20592818.0
2017-03-20,12099471.0
2017-03-21,29894784.0
2017-03-22,17055449.0
2017-03-23,13022801.0
2017-03-24,16664683.0
2017-03-27,12800544.0
2017-03-28,14679436.0
2017-03-29,16527574.0
2017-03-30,12403997.0
2017-03-31,11478265.0
2017-04-03,13563960.0
2017-04-04,12948599.0
2017-04-05,17158059.0
2017-04-06,15103426.0
2017-04-07,11811439.0
2017-04-10,9039366.0
2017-04-11,16638087.0
2017-04-12,11612456.0
2017-04-13,10965614.0
2017-04-17,11519663.0
2017-04-18,14807472.0
2017-04-19,15563945.0
2017-04-20,15968164.0
2017-04-21,12382002.0
2017-04-24,14397448.0
2017-04-25,17684833.0
2017-04-26,11324335.0
2017-04-27,10561420.0
2017-04-28,30280373.0
2017-05-01,24669159.0
2017-05-02,21255365.0
2017-05-03,21755088.0
2017-05-04,36060301.0
2017-05-05,17051519.0
2017-05-08,15662472.0
2017-05-09,17325999.0
2017-05-10,11653395.0
2017-05-11,11623865.0
2017-05-12,9497040.0
2017-05-15,14909882.0
2017-05-16,14420715.0
2017-05-17,27908167.0
2017-05-18,21784326.0
2017-05-19,16101229.0
2017-05-22,12379481.0
2017-05-23,12665886.0
2017-05-24,17769670.0
2017-05-25,19780399.0
2017-05-26,14907827.0
2017-05-30,13145329.0
