,open,high,low,close,volume
2016-03-11,32.15,32.23,31.77,32.22,6934986.0
2016-03-14,32.07,32.43,31.92,32.3,4757868.0
2016-03-15,32.13,32.34,31.57,32.14,5655420.0
2016-03-16,31.9,33.21,31.75,33.1,9091068.0
2016-03-17,32.98,33.14,32.3739,32.82,8841959.0
2016-03-18,33.21,34.25,33.0,33.81,13637802.0
2016-03-21,33.51,33.92,33.15,33.91,8444539.0
2016-03-22,33.8,34.085,33.43,33.85,6050266.0
2016-03-23,34.0,34.68,33.85,34.43,10725171.0
2016-03-24,34.12,34.54,34.01,34.48,6123854.0
2016-03-28,34.42,34.98,34.38,34.83,6634700.0
2016-03-29,34.68,35.47,34.6,35.39,6545266.0
2016-03-30,35.52,36.25,35.5,35.76,9417474.0
2016-03-31,35.92,36.0,35.35,35.63,9497052.0
2016-04-01,35.41,36.17,35.14,36.15,8707319.0
2016-04-04,36.45,36.64,35.66,35.8,9848551.0
2016-04-05,35.48,36.08,35.34,35.75,8489215.0
2016-04-06,35.3,35.82,34.63,35.8,11334379.0
2016-04-07,35.57,35.89,35.28,35.43,9452644.0
2016-04-08,35.72,35.95,35.305,35.66,6398373.0
2016-04-11,35.87,36.47,35.76,35.88,9688098.0
2016-04-12,36.0,36.05,35.14,35.84,7319077.0
2016-04-13,36.0,36.75,36.0,36.74,8767861.0
2016-04-14,36.64,37.0,36.49,36.84,10414131.0
2016-04-15,36.83,37.46,36.712,37.13,10924273.0
2016-04-18,37.06,37.06,36.61,36.97,7683044.0
2016-04-19,37.11,37.18,36.08,36.31,7728777.0
2016-04-20,36.25,36.67,36.21,36.45,5004434.0
2016-04-21,36.46,36.63,36.25,36.41,4456989.0
2016-04-22,36.53,36.78,36.145,36.27,5588539.0
2016-04-25,36.28,36.65,36.18,36.45,4799765.0
2016-04-26,36.67,37.09,36.32,36.48,5363364.0
2016-04-27,36.39,37.33,36.323,37.31,8809858.0
2016-04-28,37.08,37.3,36.11,36.2,9530551.0
2016-04-29,36.05,36.13,35.14,35.53,8047562.0
2016-05-02,35.87,36.22,35.7,36.0,6401920.0
2016-05-03,35.59,35.74,35.261,35.57,5600585.0
2016-05-04,35.14,35.17,34.4,34.76,13144065.0
2016-05-05,35.05,35.38,34.71,34.97,6172113.0
2016-05-06,34.91,35.425,34.84,35.33,4581000.0
2016-05-09,35.42,35.57,34.99,35.28,8333411.0
2016-05-10,35.5,36.02,35.16,35.96,6741929.0
